FILENAME,SAMPLE_CODE,DATA_COLLECTION_BATCH,SAMPLE_TYPE,BIOACTIVITY_NAME,COR_NAME
140221_LF420101_4.mzML,s1,1,sample,48,1
140221_ME_14_5.mzML,s5,2,sample,0,1
140221_ME_14_6.mzML,s6,3,sample,2,1
140221_ME_14_7.mzML,s7,4,sample,0,1
140221_ME_14_8.mzML,s8,5,sample,1,1
140221_ME_14_9.mzML,s9,6,sample,12,1
140221_ME_14_10.mzML,s10,7,sample,5,1
140221_ME_14_11.mzML,s11,8,sample,10,1
140221_ME_14_12.mzML,s12,9,sample,28,1
140221_ME_14_13.mzML,s13,10,sample,100,1
140221_ME_14_14.mzML,s14,11,sample,11,1
140221_ME_14_15.mzML,s15,12,sample,6,1
140221_ME_14_16.mzML,s16,13,sample,2,1
140221_ME_14_17.mzML,s17,14,sample,40,1

