sample_name,media
20250207_NM099.mzXML,NMM+Gly1%+Man1%
20250207_NM100.mzXML,NMM+Gly1%+Man1%
20250207_NM101.mzXML,NMM+Gly1%+Man1%
20250207_NM102.mzXML,NMM+Gly1%
20250207_NM103.mzXML,NMM+Gly1%
20250207_NM104.mzXML,NMM+Gly1%
20250207_NM105.mzXML,NMM+Gly2%
20250207_NM106.mzXML,NMM+Gly2%
20250207_NM107.mzXML,NMM+Gly2%
20250207_NM108.mzXML,NMM+Man1%
20250207_NM109.mzXML,NMM+Man1%
20250207_NM110.mzXML,NMM+Man1%
20250207_NM111.mzXML,NMM+Man2%
20250207_NM112.mzXML,NMM+Man2%
20250207_NM113.mzXML,NMM+Man2%
20250207_NM114.mzXML,NMM+Glu1%
20250207_NM115.mzXML,NMM+Glu1%
20250207_NM116.mzXML,NMM+Glu1%
20250207_NM117.mzXML,NMM+Glu2%
20250207_NM118.mzXML,NMM+Glu2%
20250207_NM119.mzXML,NMM+Glu2%
20250207_NM120.mzXML,NMM+Ara1%
20250207_NM121.mzXML,NMM+Ara1%
20250207_NM122.mzXML,NMM+Ara1%
20250207_NM123.mzXML,NMM+Fru1%
20250207_NM124.mzXML,NMM+Fru1%
20250207_NM125.mzXML,NMM+Fru1%
20250207_NM126.mzXML,NMM+GlcNAc1%
20250207_NM127.mzXML,NMM+GlcNAc1%
20250207_NM128.mzXML,NMM+GlcNAc1%
20250207_NM129.mzXML,BLANK
20250207_NM130.mzXML,BLANK
20250207_NM131.mzXML,BLANK
20250207_NM132.mzXML,BLANK
20250207_NM133.mzXML,BLANK
20250207_NM134.mzXML,BLANK
